#Table28: manually identified isolated lines in Feige110
#
#wavelength/Angstrom, Element, Ion, log(gf)_Kurucz, E_low/cm^-1, E_up/cm^-1
#
1269.38,Ni,V,0.25,241082.20,319860.40
1270.95,Co,V,-0.40,206962.20,285643.00
1271.27,Ni,V,-0.66,212095.80,290757.00
1272.44,Mn,VI,0.07,251403.00,329992.00
1272.99,Cr,IV,-0.11,239541.40,160986.50
1273.20,Ni,V,0.39,208164.60,286706.60
1280.47,Fe,V,-0.55,209523.90,287620.20
1281.81,Co,V,-0.47,238164.60,316178.90
1282.06,Fe,V,-1.04,209110.10,287109.60
1282.72,Ni,V,0.02,229440.60,307399.70
1282.87,Ni,V,-1.12,235736.50,313686.60
1283.18,Ni,V,-0.14,247049.10,324980.20
1284.11,Fe,V,-0.78,204729.90,282604.80
1284.47,Ni,V,0.13,216590.50,294443.30
1285.91,Fe,V,-0.88,212818.10,290583.70
1286.93,Co,V,0.39,248855.90,326560.00
1288.51,Ni,V,-0.34,242290.40,319899.10
1289.16,Co,V,-0.38,248698.20,326267.90
1291.88,Ni,V,-0.55,232545.90,309952.50
1292.46,Cr,IV,0.60,250007.70,172636.40
1292.68,Cr,IV,-0.46,251017.30,173659.10
1293.70,Co,V,-0.70,206962.20,284259.90
1294.02,Co,V,0.28,249006.80,326285.10
1294.79,Ni,V,-1.19,236454.10,313686.60
1300.79,Cr,IV,0.41,250535.20,173659.10
1301.88,Cr,IV,-0.88,237798.20,160986.50
1302.25,Ni,V,-0.21,242862.60,319652.70
1302.64,Co,V,-0.55,241174.10,317941.00
1304.52,Cr,IV,0.57,250752.70,174096.20
1306.85,Co,V,-0.87,206476.00,282995.60
1307.77,Ni,V,-0.17,253905.20,330370.70
1307.86,Co,V,-0.15,243455.20,319915.70
1311.23,Fe,V,-0.82,213649.20,289913.00
1311.33,Ni,V,-0.87,239107.70,315366.10
1312.14,Co,V,0.15,289449.20,365660.10
1312.25,Co,V,0.45,283592.10,359796.70
1315.48,Cr,IV,-1.10,247099.10,171081.30
1315.98,Ni,V,-0.86,221429.00,297417.90
1316.53,Mn,V,-1.38,194011.40,269968.30
1317.62,Co,V,-0.85,206108.50,282002.80
1318.92,Ni,V,-0.88,247165.00,322984.50
1319.16,Ni,V,-0.11,241082.20,316887.80
1320.02,Cr,IV,-1.03,233117.30,157361.40
1320.40,Fe,V,0.27,216779.10,292513.20
1320.80,Fe,IV,-1.12,161571.59,237283.09
1320.88,Ni,V,-0.66,212253.40,287960.00
1321.03,Cr,IV,-1.12,237999.50,162301.40
1321.48,Fe,V,-0.04,209523.90,285196.10
1322.73,Co,V,-0.38,242340.30,317941.00
1322.83,Ni,IV,-1.54,140140.90,215736.10
1324.74,Ni,V,-0.53,221087.60,296574.00
1324.86,Ni,IV,-0.56,110410.60,185890.00
1325.16,Co,V,-0.26,238164.60,313626.70
1326.02,Co,V,0.02,244821.20,320234.50
1326.15,Ni,IV,-1.19,139886.70,215292.90
1328.84,Fe,IV,-1.11,167712.50,242965.62
1329.02,Fe,V,-1.31,217122.50,292365.90
1330.40,Fe,V,0.43,217122.50,292287.60
1333.57,Ni,V,-0.59,241082.20,316068.80
1335.75,Fe,V,-0.67,214525.80,289389.70
1341.07,Ni,V,-0.12,216189.90,290757.00
1341.22,Cr,IV,-1.19,255836.90,181277.90
1342.43,Co,V,0.52,236158.00,310649.40
1343.62,Ni,V,-0.69,217129.10,291554.60
1344.69,Ni,V,-1.22,240959.60,315326.20
1345.84,Co,V,-0.34,206476.00,280778.70
1346.08,Ni,IV,-0.34,112151.90,186441.40
1346.63,Cr,IV,-1.33,233708.50,159449.20
1346.82,Co,IV,-1.51,90554.40,164803.20
1348.56,Cr,IV,-0.98,239582.80,165430.00
1348.84,Fe,V,-0.76,234027.40,308165.00
1349.15,Ni,IV,-0.85,139619.20,213739.70
1352.05,Co,V,0.04,206962.20,280923.50
1352.75,Co,V,0.00,276608.80,350532.00
1353.24,Co,V,-0.62,249179.70,323076.20
1356.07,Ni,IV,-0.23,111763.30,185505.30
1357.24,Fe,IV,-1.03,165392.58,239071.40
1359.71,Cr,IV,-0.66,232896.60,159352.00
1360.80,Ni,V,-0.63,242504.30,315990.50
1364.17,Co,V,0.12,241985.30,315289.80
1364.41,Cr,IV,-0.90,254534.60,181243.10
1368.01,Cr,IV,-0.83,234085.20,160986.50
1368.68,Cr,IV,-1.25,251093.10,178030.00
1370.30,Fe,V,-0.83,217122.50,290099.10
1370.94,Fe,V,-0.47,186433.60,259376.10
1372.65,Fe,V,-0.98,216538.10,289389.70
1373.03,Co,V,0.45,277192.40,350024.00
1375.20,Co,V,-0.06,206476.00,279192.40
1375.79,Fe,V,-0.74,216860.40,289545.90
1376.80,Cr,IV,-0.95,233618.40,160986.50
1381.30,Ni,IV,-0.33,139886.70,212281.80
1382.88,Mn,V,-0.67,200670.10,272982.90
1384.05,Fe,V,-0.59,214611.40,286862.70
1384.85,Ni,V,-0.25,233839.20,306049.00
1386.46,Fe,V,-1.49,188395.30,260521.00
1387.93,Fe,V,0.66,217122.50,289171.90
1388.69,Ni,IV,-1.05,140140.90,212150.90
1389.43,Ni,V,-0.65,216189.90,288161.60
1389.63,Cr,IV,-0.23,255836.90,183875.60
1390.27,Cr,IV,-1.03,255803.60,183875.60
1391.55,Cr,IV,-0.65,233618.40,161756.30
1391.65,Ni,V,-0.76,247281.80,319138.70
1392.47,Ni,V,-0.15,240193.80,312008.30
1393.53,Co,V,-0.87,244821.20,316581.00
1395.44,Fe,V,-0.84,214525.80,286187.70
1395.54,Co,IV,-0.74,132828.70,204485.30
1395.73,Ni,IV,-0.86,153349.40,224996.50
1395.85,Co,V,-0.27,238390.30,310031.10
1395.97,Ni,IV,-0.57,110410.60,182044.90
1396.89,Ni,IV,-0.65,153349.40,224936.90
1397.54,Ni,V,-0.63,221429.00,292983.00
1397.75,Fe,V,-0.93,214611.40,286154.90
1399.05,Mn,V,-0.46,194011.40,265488.40
1401.89,Ni,IV,0.01,153313.80,224645.70
1403.36,Fe,V,-0.33,209110.10,280367.20
1405.35,Fe,V,-0.99,213534.10,284690.30
1405.96,Fe,V,-0.71,221305.20,292430.70
1406.45,Ni,IV,-0.64,139886.70,210987.50
1407.44,Ni,IV,0.29,185967.00,257018.00
1407.65,Co,V,0.42,218407.20,289447.50
1408.11,Fe,V,-0.23,186725.50,257742.30
1408.52,Co,V,-0.16,255292.50,326288.80
1409.02,Fe,V,0.08,187157.50,258128.50
1410.36,Ni,IV,-1.48,140343.00,211246.80
1411.45,Ni,IV,0.44,111195.80,182044.90
1412.11,Cr,IV,-0.83,233117.30,162301.40
1413.42,Co,V,0.55,236746.00,307496.40
1414.00,Mn,V,-1.06,194011.40,264732.40
1414.59,Ni,IV,0.31,144815.10,215506.60
1415.05,Co,IV,-0.06,132729.10,203398.00
1417.27,Ni,IV,-0.33,139619.20,210177.00
1417.40,Cr,IV,-0.70,110691.80,181243.10
1418.34,Ni,IV,0.22,155253.70,225758.50
1419.12,Ni,IV,0.15,138446.20,208912.10
1419.98,Co,V,0.45,236431.20,306854.60
1421.68,Ni,IV,-0.91,145192.10,215531.00
1421.99,Fe,IV,-1.33,158738.69,229062.58
1422.13,Fe,IV,-0.41,195864.15,266181.09
1423.88,Co,IV,-0.39,132828.70,203059.00
1424.79,Mn,V,0.01,195302.70,265488.40
1425.47,Fe,IV,-0.27,159342.88,229494.74
1426.04,Fe,IV,-0.57,158738.69,228862.61
1428.61,Ni,V,-1.25,217129.10,287127.20
1430.19,Ni,IV,0.15,120909.50,190830.30
1431.43,Fe,IV,-0.23,154185.85,224045.96
1432.44,Ni,IV,-0.12,121807.70,191618.20
1432.68,Ni,IV,-0.92,159498.50,229297.50
1432.84,Mn,V,-0.02,200176.90,269968.30
1435.80,Ni,IV,-0.52,122386.10,192033.50
1440.30,Mn,V,-0.52,195302.70,264732.40
1440.79,Fe,V,-0.23,204729.90,274136.10
1441.18,Ni,IV,-0.05,146153.80,215541.30
1443.30,Mn,V,0.16,200670.10,269955.40
1444.60,Ni,IV,-0.78,142023.50,211246.80
1444.77,Mn,V,-0.52,176946.30,246161.20
1444.91,Ni,IV,0.34,145702.20,214910.50
1445.68,Fe,V,-0.42,258434.10,327605.40
1446.93,Ni,IV,-0.66,141832.00,210943.60
1447.20,Ni,IV,-0.88,146194.30,215292.90
1448.29,Ni,IV,-1.13,139886.70,208933.60
1448.48,Fe,V,0.16,213534.10,282571.60
1449.18,Ni,IV,-0.66,142023.50,211027.60
1449.88,Fe,V,0.41,233633.60,302604.50
1450.62,Fe,V,-1.62,216538.10,285474.00
1451.10,Fe,V,-0.69,204729.90,273643.10
1451.58,Co,IV,0.23,158846.70,227737.10
1452.58,Ni,IV,-0.48,156294.00,225136.90
1453.09,Fe,IV,-0.35,154731.29,223550.14
1454.36,Ni,IV,-0.33,141832.00,210590.60
1456.52,Ni,IV,-0.01,146061.50,214718.10
1456.75,Fe,IV,-0.83,156224.88,224870.85
1460.73,Fe,V,-0.21,187719.00,256177.90
1462.01,Ni,IV,0.00,145702.20,214101.00
1462.13,Ni,IV,0.11,146194.30,214587.40
1465.57,Co,IV,-0.18,136612.50,204845.10
1468.42,Ni,IV,-0.47,147635.90,215736.10
1469.48,Ni,IV,-1.50,159498.50,227549.40
1470.73,Fe,V,-1.58,214611.40,282604.80
1471.73,Ni,IV,-0.77,146153.80,214101.00
1472.80,Fe,V,-0.60,214525.80,282423.50
1473.55,Co,IV,-0.48,160351.40,228214.70
1474.27,Fe,V,-0.74,216860.40,284690.30
1475.60,Fe,V,-0.18,209523.90,277292.70
1475.96,Mn,V,-0.24,178572.50,246324.70
1476.42,Ni,IV,0.21,159818.40,227549.40
1476.81,Ni,IV,0.30,141220.30,208933.60
1476.96,Ni,IV,-0.62,145702.20,213408.60
1477.28,Ni,IV,-0.73,141220.30,208912.10
1478.45,Cr,IV,-0.64,239822.20,172184.00
1479.20,Ni,IV,0.08,171406.00,239009.70
1480.48,Ni,IV,-0.48,146194.30,213739.70
1481.41,Ni,IV,-0.24,140343.00,207846.20
1486.03,Fe,IV,-0.37,160311.64,227604.73
1486.19,Ni,IV,0.17,151574.70,218860.60
1487.88,Ni,IV,-0.02,152343.70,219553.40
1488.14,Co,IV,-0.28,136362.90,203560.60
1489.24,Fe,V,-0.44,216538.10,283686.30
1489.70,Cr,V,-0.17,167491.00,234618.40
1489.83,Ni,IV,0.27,139619.20,206740.70
1490.19,Co,IV,0.33,152126.20,219231.60
1491.90,Ni,IV,-0.20,141577.20,208605.70
1492.64,Ni,IV,-0.07,140140.90,207136.00
1493.81,Co,IV,0.16,182501.40,249444.10
1494.47,Fe,IV,-1.19,154325.96,221239.21
1496.41,Ni,IV,-0.77,141220.30,208046.80
1497.49,Fe,IV,-0.48,154325.96,221104.17
1497.59,Ni,IV,-0.25,141832.00,208605.70
1498.52,Mn,V,-0.43,176946.30,243678.50
1500.41,Fe,IV,-0.63,154512.67,221161.02
1500.90,Cr,IV,-1.16,241472.80,174846.20
1501.03,Co,IV,0.17,152113.30,218733.80
1502.19,Co,IV,0.46,90554.40,157123.70
1502.33,Mn,V,0.37,178572.50,245135.60
1503.36,Mn,V,-0.36,194288.80,260806.20
1505.99,Ni,V,-1.43,242862.60,309264.00
1506.16,Co,V,-0.92,248698.20,315092.20
1506.52,Co,IV,-0.61,129228.70,195606.50
1507.89,Ni,V,-1.01,241082.20,307399.70
1508.41,Co,IV,-0.06,160351.40,226646.10
1509.10,Ni,IV,0.14,148358.20,214622.80
1510.11,Ni,IV,-0.57,146061.50,212281.80
1510.37,Co,IV,0.61,188138.40,254347.10
1513.30,Fe,IV,-1.40,165392.58,231473.32
1521.43,Ni,IV,-0.01,185967.00,251694.30
1522.77,Co,IV,0.02,150970.90,216640.40
1524.23,Ni,IV,-0.42,120909.50,186516.10
1524.75,Fe,IV,-1.64,154474.85,220059.33
1528.93,Fe,IV,-1.28,154185.85,219590.84
1529.08,Ni,IV,-0.63,145192.10,210590.60
1530.25,Fe,IV,0.11,159227.90,224576.43
1530.58,Co,IV,0.38,188138.40,253472.80
1530.92,Co,IV,-0.36,132729.10,198048.90
1532.49,Fe,IV,-0.03,177005.97,242259.25
1533.02,Mn,V,-0.15,178572.50,243803.10
1534.26,Fe,V,-1.88,216860.40,282038.10
1534.42,Fe,IV,-1.69,162087.81,227258.80
1535.28,Co,IV,0.66,158846.70,223981.30
1536.57,Fe,IV,-0.30,128191.54,193271.27
1538.28,Fe,IV,-0.41,128541.85,193549.25
1539.19,Fe,IV,-0.28,201212.22,266181.09
1539.74,Cr,IV,-0.14,252464.80,187519.00
1540.55,Co,IV,0.33,136612.50,201524.10
1540.72,Fe,IV,-0.81,155744.87,220649.22
1541.00,Mn,V,-0.18,177874.20,242766.90
1543.23,Fe,V,-0.30,195196.30,259995.20
1543.56,Ni,IV,-0.07,141220.30,206005.30
1544.48,Fe,IV,0.47,168526.37,233272.84
1544.63,Fe,IV,-0.79,158738.69,223478.96
1544.74,Fe,IV,-0.86,159010.39,223745.82
1544.87,Co,IV,-0.17,163717.90,228448.10
1546.40,Fe,IV,-0.23,127929.12,192595.28
1546.55,Fe,IV,-1.21,158738.69,223398.62
1547.77,Fe,IV,-1.97,156049.32,220658.04
1548.68,Ni,IV,-0.35,122386.10,186957.20
1549.77,Fe,IV,-1.56,156123.77,220649.22
1550.45,Co,IV,0.12,148105.50,212602.70
1550.90,Fe,V,-0.07,195933.00,260411.40
1552.20,Fe,IV,-0.36,156224.88,220649.22
1553.17,Fe,IV,-0.59,137700.81,202085.22
1553.86,Ni,IV,-0.55,159818.40,224174.00
1554.80,Ni,IV,-0.12,144815.10,209131.90
1555.21,Co,IV,-0.31,136611.20,200911.10
1555.94,Fe,IV,-0.58,138338.83,202608.33
1556.06,Fe,IV,-0.56,160311.64,224576.43
1556.66,Ni,IV,-0.65,122717.40,186957.20
1557.64,Fe,V,-1.08,219486.90,283686.30
1558.23,Ni,IV,-0.44,112379.30,176554.40
1558.44,Mn,V,-1.57,183538.80,247705.20
1558.67,Fe,IV,0.05,201212.22,265369.48
1558.78,Fe,IV,-1.10,154325.96,218478.36
1558.89,Fe,IV,-1.05,156049.32,220197.25
1559.33,Ni,IV,-0.59,122386.10,186516.10
1560.70,Fe,IV,-0.48,156123.77,220197.25
1561.69,Mn,V,-1.65,177874.20,241907.10
1562.75,Fe,IV,0.03,138338.83,202328.53
1563.58,Fe,IV,-0.14,155744.87,219700.53
1563.93,Fe,V,-0.99,212818.10,276759.20
1568.71,Fe,IV,-0.30,138338.83,202085.22
1568.84,Mn,V,-0.14,195302.70,259043.80
1569.61,Co,IV,-0.14,159482.30,223192.40
1571.24,Fe,IV,0.15,154731.29,218375.12
1571.91,Co,IV,0.35,148105.50,211722.00
1573.59,Fe,IV,-0.40,154474.85,218023.81
1573.77,Fe,IV,-0.95,156049.32,219590.84
1573.91,Co,IV,0.15,153524.90,217060.70
1574.04,Co,IV,0.16,159851.50,223382.30
1574.60,Fe,IV,-0.08,171476.39,234984.35
1575.40,Fe,IV,-0.08,156224.88,219700.53
1576.21,Fe,V,-1.20,195933.00,259376.10
1576.43,Fe,IV,-0.52,160311.64,223745.82
1578.02,Fe,IV,-1.20,154474.85,217845.29
1578.61,Fe,IV,-0.73,155744.87,219091.67
1578.74,Fe,IV,0.14,165720.94,229062.58
1579.03,Ni,IV,-1.20,146061.50,209391.40
1579.24,Fe,IV,-0.81,156012.29,219333.90
1580.24,Fe,IV,-0.72,158738.69,222020.09
1580.90,Fe,IV,-1.36,127766.15,191021.18
1581.82,Ni,V,-1.28,229413.00,292631.00
1583.32,Co,IV,-0.27,129223.70,192382.00
1585.11,Fe,IV,-0.32,160311.64,223398.62
1585.30,Fe,IV,-0.54,156012.29,219091.67
1587.41,Fe,IV,-1.12,171476.39,234472.00
1587.72,Co,IV,-0.24,132729.10,195712.40
1588.69,Ni,V,-1.21,229408.80,292353.40
1589.14,Co,IV,-0.09,150970.90,213897.90
1590.11,Ni,IV,-1.30,148358.20,211246.80
1590.23,Co,IV,-0.59,132828.70,195712.40
1592.05,Fe,IV,0.45,159342.88,222154.99
1592.32,Fe,IV,-0.83,165392.58,228193.67
1594.04,Fe,IV,-1.41,155744.87,218478.36
1594.52,Co,IV,-0.02,102773.90,165488.50
1595.79,Fe,IV,0.17,201212.22,263876.91
1597.67,Co,IV,0.49,162889.00,225479.80
1597.90,Fe,IV,-1.17,158738.69,221320.54
1598.82,Fe,V,-0.57,195196.30,257742.30
1602.06,Fe,IV,0.19,159227.90,221647.49
1603.58,Mn,IV,0.35,137930.10,200290.40
1603.73,Fe,IV,0.14,156123.77,218478.36
1604.67,Fe,IV,0.08,165600.96,227919.05
1604.87,Fe,IV,0.06,159010.39,221320.54
1605.54,Ni,IV,0.14,179655.00,241939.00
1605.67,Fe,IV,-0.24,155744.87,218023.81
1605.97,Fe,IV,0.30,165392.58,227660.25
1606.33,Fe,IV,-0.64,156224.88,218478.36
1611.59,Ni,IV,-1.63,144815.10,206865.50
1614.64,Fe,IV,0.04,159227.90,221161.02
1615.84,Co,IV,-0.45,136612.50,198499.60
1616.12,Fe,IV,-0.67,159227.90,221104.17
1617.04,Fe,V,-0.94,196838.60,258680.00
1617.25,Fe,IV,-0.21,156012.29,217845.29
1620.61,Mn,III,0.97,173306.45,111601.45
1621.56,Fe,IV,0.69,168526.37,230195.02
1623.38,Fe,IV,0.37,183159.61,244759.25
1624.91,Fe,IV,0.12,162087.81,223629.59
1625.69,Ni,V,-1.46,235420.60,296932.90
1625.79,Fe,IV,-0.83,190435.47,251944.03
1626.46,Fe,IV,0.55,154325.96,215808.91
1626.90,Fe,IV,0.05,128541.85,190008.28
1627.76,Ni,IV,-0.91,145702.20,207136.00
1628.77,Ni,IV,-0.83,152343.70,213739.70
1628.89,Fe,IV,-1.00,162087.81,223478.96
1630.67,Fe,IV,0.06,162074.42,223398.62
1632.08,Fe,IV,0.08,154731.29,216002.72
1634.75,Fe,IV,-0.47,165720.94,226892.10
1635.39,Fe,IV,0.09,190811.79,251958.94
1636.68,Co,IV,-0.43,159851.50,220950.80
1636.99,Fe,IV,-1.00,165804.47,226892.10
1637.50,Ni,IV,-0.86,152343.70,213412.10
1638.07,Fe,IV,-0.67,165804.47,226851.93
1640.78,Fe,IV,-0.06,168526.37,229472.83
1640.86,Ni,IV,-1.27,145702.20,206645.70
1643.05,Mn,V,-1.62,184635.60,245497.80
1644.05,Cr,V,-0.17,167176.40,228001.80
1644.62,Ni,IV,-0.93,146061.50,206865.50
1645.27,Fe,IV,-0.75,168526.37,229306.61
1648.44,Co,IV,-0.09,159482.30,220145.60
1650.39,Co,IV,0.11,167856.50,228448.10
1654.30,Fe,IV,-0.56,161571.59,222020.09
1655.64,Cr,V,-0.50,168089.50,228489.10
1658.08,Cr,IV,0.27,127208.30,187519.00
1658.43,Fe,IV,-0.04,159342.88,219640.76
1659.15,Cr,IV,-0.99,233637.60,173366.00
1659.31,Mn,IV,0.51,152700.50,212966.50
1660.10,Fe,IV,-0.04,128191.54,188428.78
1661.34,Mn,IV,-0.47,111506.00,171698.30
1661.57,Fe,IV,0.47,190318.34,250502.29
1662.31,Fe,IV,-0.14,127929.12,188086.05
1662.51,Fe,IV,0.21,160311.64,220461.33
1663.54,Fe,IV,-0.32,127766.15,187878.81
1664.93,Fe,IV,-0.82,156049.32,216111.69
1667.75,Fe,IV,-0.18,190318.34,250279.06
1669.09,Fe,IV,-1.02,177005.97,236918.79
1669.81,Fe,IV,-0.91,128541.85,188428.78
1672.20,Fe,IV,0.23,183164.49,242965.62
1672.86,Fe,IV,0.15,156224.88,216002.72
1673.37,Fe,IV,-0.01,190435.47,250195.07
1673.67,Fe,IV,0.51,168566.43,228315.03
1675.66,Fe,IV,0.53,168526.37,228204.33
1676.78,Fe,IV,-0.08,168566.43,228204.33
1677.12,Fe,IV,-0.18,164950.50,224576.43
1680.66,Ni,IV,-1.02,147635.90,207136.00
1683.12,Mn,IV,0.28,152986.00,212399.30
1683.28,Co,IV,-0.74,136362.90,195770.50
1685.82,Fe,IV,-1.18,160015.88,219333.90
1689.05,Co,IV,-0.01,157513.10,216717.80
1689.61,Fe,IV,-0.84,159010.39,218195.66
1690.86,Cr,IV,0.06,124734.40,183875.60
1691.68,Mn,IV,0.12,131170.10,190282.80
1691.85,Fe,IV,-0.74,158738.69,217845.29
1693.68,Mn,V,-1.82,184635.60,243678.50
1693.99,Fe,IV,-0.81,159342.88,218375.12
1695.77,Fe,IV,-0.28,154474.85,213445.05
1696.24,Co,IV,-0.10,140863.50,199817.30
1697.02,Co,V,-0.69,255292.50,314219.10
1697.50,Fe,IV,-0.36,156123.77,215033.81
1698.15,Ni,IV,-1.62,147635.90,206523.20
1698.30,Mn,IV,0.44,112882.80,171765.00
1699.14,Mn,IV,0.09,112013.30,170866.30
1700.81,Fe,IV,0.04,164950.50,223745.82
1701.74,Mn,V,-1.78,203811.80,262574.90
1702.38,Co,IV,-0.56,141076.00,199817.30
1702.78,Fe,IV,-0.98,158738.69,217466.19
1704.47,Cr,IV,-1.08,233637.60,174968.60
1704.93,Fe,IV,0.02,165392.58,224046.02
